time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-12-16 20:55:00+00:00,2025-12-17 02:00:00+00:00,BUY,4304.81994,4327.42193,0.02,45.13,0.14,TP,TRENDING,0.8,32.25,0.89,NEW_YORK
2025-12-17 02:55:00+00:00,2025-12-17 04:45:00+00:00,BUY,4313.60386,4331.117,0.07,122.35,0.49,TP,HIGH_VOLATILITY,0.8,38.21,1.48,TOKYO
2025-12-17 06:40:00+00:00,2025-12-17 07:40:00+00:00,BUY,4328.05469,4318.94633,0.09,-82.29,0.63,SL,TRENDING,0.8,33.74,1.44,TOKYO
2025-12-17 10:05:00+00:00,2025-12-17 10:35:00+00:00,BUY,4317.61355,4311.07093,0.09,-59.2,0.63,SL,HIGH_VOLATILITY,0.8,22.84,1.01,LONDON
2025-12-17 12:40:00+00:00,2025-12-17 13:40:00+00:00,BUY,4317.67641,4337.45316,0.07,138.19,0.49,TP,HIGH_VOLATILITY,0.8,36.3,1.33,LONDON
2025-12-17 21:35:00+00:00,2025-12-18 00:50:00+00:00,BUY,4340.68299,4333.07185,0.05,-38.23,0.35,SL,HIGH_VOLATILITY,0.8,27.85,0.5,NEW_YORK
2025-12-18 03:05:00+00:00,2025-12-18 08:05:00+00:00,BUY,4333.61037,4325.31015,0.08,-66.68,0.56,SL,HIGH_VOLATILITY,0.8,44.34,1.04,TOKYO
2025-12-18 09:50:00+00:00,2025-12-18 13:05:00+00:00,BUY,4323.79846,4316.98309,0.08,-54.8,0.56,SL,HIGH_VOLATILITY,0.8,48.17,0.68,TOKYO
2025-12-18 21:45:00+00:00,2025-12-19 01:00:00+00:00,BUY,4331.08301,4323.06032,0.03,-24.17,0.21,SL,HIGH_VOLATILITY,0.8,35.13,0.65,NEW_YORK
2025-12-19 04:35:00+00:00,2025-12-19 14:35:00+00:00,BUY,4318.74839,4335.56615,0.05,83.91,0.35,TP,HIGH_VOLATILITY,0.8,45.02,1.06,TOKYO
2025-12-19 19:45:00+00:00,2025-12-19 20:45:00+00:00,BUY,4346.96202,4338.50825,0.03,-25.47,0.21,SL,TRENDING,0.8,22.25,0.67,NEW_YORK
2025-12-22 08:40:00+00:00,2025-12-22 14:15:00+00:00,BUY,4408.16184,4427.84874,0.06,117.91,0.42,TP,TRENDING,0.8,44.21,1.39,TOKYO
2025-12-22 14:40:00+00:00,2025-12-22 16:30:00+00:00,BUY,4417.65908,4441.06915,0.09,210.38,0.63,TP,HIGH_VOLATILITY,0.8,25.04,1.17,LONDON
2025-12-22 19:15:00+00:00,2025-12-22 21:25:00+00:00,BUY,4430.44495,4449.01374,0.09,166.8,0.63,TP,TRENDING,0.8,20.89,1.08,NEW_YORK
2025-12-23 05:20:00+00:00,2025-12-23 06:10:00+00:00,BUY,4477.98218,4470.94001,0.24,-169.85,1.68,SL,TRENDING,0.8,51.14,1.12,TOKYO
2025-12-23 09:15:00+00:00,2025-12-23 13:50:00+00:00,BUY,4481.84087,4473.70273,0.16,-130.77,1.12,SL,TRENDING,0.8,54.71,0.83,TOKYO
2025-12-23 20:40:00+00:00,2025-12-23 23:35:00+00:00,BUY,4490.12563,4507.22315,0.06,102.38,0.42,TP,HIGH_VOLATILITY,0.8,31.68,0.83,NEW_YORK
2025-12-24 08:00:00+00:00,2025-12-24 10:00:00+00:00,BUY,4484.32934,4496.02183,0.2,233.15,1.4,TP,HIGH_VOLATILITY,0.8,36.91,0.63,TOKYO
2025-12-26 06:55:00+00:00,2025-12-26 13:40:00+00:00,BUY,4510.3809,4525.79678,0.2,307.62,1.4,TP,TRENDING,0.8,48.62,1.19,TOKYO
2025-12-29 05:40:00+00:00,2025-12-29 06:00:00+00:00,SELL,4516.80705,4503.34972,0.12,161.07,0.84,TP,HIGH_VOLATILITY,0.8,38.15,1.1,TOKYO
2025-12-30 12:20:00+00:00,2025-12-30 13:30:00+00:00,SELL,4398.98739,4381.86425,0.24,410.12,1.68,TP,TRENDING,0.8,25.73,1.46,LONDON
2026-01-02 05:05:00+00:00,2026-01-02 08:05:00+00:00,BUY,4372.11962,4385.44187,0.26,345.47,1.82,TP,TRENDING,0.8,41.48,0.44,TOKYO
2026-01-02 10:00:00+00:00,2026-01-02 13:10:00+00:00,BUY,4386.05134,4401.12128,0.24,360.84,1.68,TP,TRENDING,0.8,51.39,1.25,TOKYO
2026-01-02 20:30:00+00:00,2026-01-04 23:05:00+00:00,SELL,4328.35362,4354.3526,0.14,-364.48,0.49,GAP,HIGH_VOLATILITY,0.8,0.0,86.66,NEW_YORK
2026-01-05 05:45:00+00:00,2026-01-05 06:00:00+00:00,BUY,4402.47274,4413.31049,0.21,226.86,1.47,TP,TRENDING,0.8,42.59,0.52,TOKYO
2026-01-05 20:45:00+00:00,2026-01-05 23:00:00+00:00,BUY,4438.25342,4451.43252,0.15,197.16,1.05,TP,TRENDING,0.8,19.82,0.45,NEW_YORK
